match,verdict,sponsors_h1b,h1b_approvals,days_ago,posted_on,title,company,location,strengths,gaps,min_years_req,red_flags,url
82,strong,unknown,0,2,2026-06-19,Quality Engineer,alarmcom,"Tysons, Virginia","Exact seniority match: 0 years experience aligns perfectly with 0-1 years requirement for entry-level Quality Engineer role | Strong programming foundation: Python, Java, JavaScript cover all required languages for SDET work | Relevant technical skills: REST APIs, SQL, Git/GitHub directly applicable to test automation and CI/CD pipelines | Full stack background demonstrates understanding of web architecture, APIs, and system design beneficial for quality engineering","No demonstrated QA/testing experience: lacks explicit exposure to test automation tools (Selenium, Cypress, Playwright, Postman) or manual testing workflows | No bachelor's degree confirmation: job requires CS/Engineering/IT degree; candidate background unclear on formal education status",0,,https://job-boards.greenhouse.io/alarmcom/jobs/8567187002
78,strong,unknown,0,12,2026-06-09,"Developer Intern, Front-End Platform - Fall 2026",1password,Remote (United States | Canada),"Strong React.js and JavaScript foundation directly aligned with frontend component development | Full stack capability with Node.js, REST APIs, and multiple databases shows solid software engineering fundamentals | Git/GitHub proficiency and Agile collaboration experience demonstrate professional development practices | Cybersecurity fundamentals and secure coding knowledge valuable for 1Password's security-focused mission","No TypeScript experience mentioned (bonus skill but increasingly standard in modern React shops) | No demonstrated accessibility standards or inclusive design practice experience | No CI/CD pipeline, SSH, or cloud provider experience listed (bonus skills but relevant to platform tooling role) | Work authorization status listed as 'n/a' - unclear if candidate is Canadian/US citizen or has valid work permit for remote Canada/US position",,,https://jobs.ashbyhq.com/1password/c90c5d23-fd41-4c01-8422-08f4b64144f5
72,strong,unknown,0,4,2026-06-17,"Developer Intern, Open Source - Fall 2026",1password,Remote (United States | Canada),"Full stack developer background with JavaScript, React.js, Node.js covers web/IDE plugin development needs | Python and Java skills align with open source tooling and backend work | Git/GitHub expertise directly applicable to open source contribution workflow | Cybersecurity fundamentals and secure coding knowledge fit 1Password's security-first culture",Zero years of professional experience as intern role expects some foundational work experience; candidate appears to be entry-level student | No demonstrated open source contribution history or portfolio; role requires shipping code to public repositories with minimal onboarding,,,https://jobs.ashbyhq.com/1password/81323adf-cf08-45af-a1df-da91c3a052ae
72,strong,unknown,0,9,2026-06-12,"Developer Intern, Client Secrets Management- Fall 2026",1password,Remote (United States | Canada),"Full stack developer background with Python, JavaScript, Node.js, and REST APIs aligns with developer tooling work | Cybersecurity fundamentals and secure coding knowledge directly relevant to secrets management domain | Git/GitHub proficiency and Agile collaboration experience suit modern development practices at 1Password","Zero years of professional experience; this is an intern role but candidate has no demonstrated work history or internship experience | No evidence of systems programming, CLI development, or low-level infrastructure work (SSH, environment management, .env handling) that the role emphasizes",,,https://jobs.ashbyhq.com/1password/d9909a9a-d941-404d-a7f2-5021670ffd2c
72,strong,unknown,0,10,2026-06-11,"Developer Intern, Ecosystems- Fall 2026",1password,Remote (United States | Canada),Full stack capability with JavaScript/React.js for frontend and Node.js/REST APIs for backend—directly aligned with Integrations Marketplace web and API work | Python and Java experience provides foundation for backend services and API implementation | Demonstrated security fundamentals and secure coding knowledge relevant to 1Password's security-first culture | Git/GitHub and Agile collaboration show professional development practices; VS Code familiarity,"Zero professional experience (0.0 years)—intern role is appropriate, but no track record of shipping features or working in production environments | No demonstrated experience with modern API standards (REST/gRPC design patterns), integrations architecture, or marketplace platforms | Work authorization listed as 'n/a'—role requires Canada or US work eligibility; unclear if candidate qualifies for remote work in those jurisdictions",,,https://jobs.ashbyhq.com/1password/44150e12-89b1-4ac7-ad8d-671f5ec650dd
72,strong,yes,2,11,2026-06-10,GTM Engineering Intern,astronomer,New York City,"Python proficiency matches core requirement for production-quality code | JavaScript/React/Node.js stack aligns with TypeScript/React preference for frontend tooling | AI/ML background (NLP, CNN, Random Forest) demonstrates interest in AI/automation intersection | Full-stack capability enables end-to-end internal tool development","No demonstrated experience with LLM APIs (OpenAI, Anthropic) or AI agents—core bonus/nice-to-have for this role | No Go language experience; job lists Go as primary production language option alongside Python | No evidence of open-source contributions or internal tools/revenue-ops projects built | Zero years professional experience; internship role but lacks portfolio/project evidence of production-quality code shipping",,,https://jobs.ashbyhq.com/astronomer/24262c87-1c1e-4815-b008-854f921450a8
72,strong,unknown,0,12,2026-06-09,"Data Intern, Enterprise Analytics - Fall 2026",1password,Remote (United States | Canada),Python programming experience directly applicable to data analysis and scripting | SQL knowledge required for querying and analyzing databases | Full stack development background demonstrates technical foundation and ability to learn quickly | Git/GitHub proficiency shows version control competency needed in analytics workflows,"No demonstrated experience with BI/data visualization tools (Looker, Tableau, Power BI) which are bonus but valuable for dashboard building | No explicit experience with real-world messy datasets or data cleaning workflows | Zero years of professional work experience; this is an internship but candidate has no prior analytics, GTM, or business intelligence exposure | No mention of R or statistical analysis tools commonly used in enterprise analytics",,,https://jobs.ashbyhq.com/1password/c502ea19-dc77-4955-8797-6f8b64ccf52f
62,possible,yes,2,3,2026-06-18,Product Management Intern,astronomer,New York City,"Strong Python proficiency - core language for the role with demonstrated ML/NLP experience | JavaScript/React/Node.js skills cover the bonus React/TypeScript requirement | AI/ML background with CNN, NLP, and Random Forest experience shows comfort with AI concepts | Production-quality code capability demonstrated across multiple languages and frameworks","No demonstrated experience with LLM APIs (OpenAI, Anthropic) or AI agents/automation workflows - core to the role's AI focus | Missing Go language experience (listed as preferred production language) | No evidence of building internal tools, revenue-supporting systems, or working with business impact metrics | No Apache Airflow or data engineering experience despite company's core product focus",,,https://jobs.ashbyhq.com/astronomer/6f3751ca-f1e6-467e-8731-6140d9490282
62,possible,unknown,0,3,2026-06-18,"Developer Intern, Service Development - Fall 2026",1password,Remote (United States | Canada),"Strong foundational programming skills (Python, Java, C, JavaScript) demonstrate ability to pick up Go quickly | REST APIs and backend experience align with service development work | Git/GitHub proficiency and Agile collaboration match team processes | Cybersecurity fundamentals and secure coding knowledge relevant to 1Password's security-focused mission","No Go experience (primary language for role) — while learnable, this is a significant gap for a production library role | No demonstrated gRPC, observability tooling (logging/tracing), or infrastructure/backend specialization experience | 0 years professional experience as intern candidate, but lacks open source contributions or public repos mentioned as bonus | No evidence of working on shared libraries, production systems, or inner-source collaboration at scale",,,https://jobs.ashbyhq.com/1password/b6b8c8ed-ff1c-4bc2-9dbe-5122207ea3a2
62,possible,unknown,0,6,2026-06-15,Junior AI/ML Engineer,Node.Digital,"Herndon, Virginia, United States","Strong Python foundation with ML libraries (scikit-learn implied via Random Forest, NLP skills) | Hands-on ML experience: CNN, Random Forest, NLP demonstrate applied ML coursework and project work | Full-stack capability with REST APIs, data handling (SQL, Firebase), and secure coding fundamentals align with IRMS/OWASP requirements | Git/GitHub and Agile collaboration match development workflow expectations","0 years professional experience vs. 1–3 years required (internships/project work only); no demonstrated production ML pipeline or model evaluation at scale | No explicit mention of Pandas/NumPy proficiency, MLflow/experiment tracking, or deep learning framework (TensorFlow/PyTorch) hands-on use | No evidence of data preprocessing, feature engineering, or evaluation metrics (precision, recall, F1, AUC-ROC) implementation in real workflows | Work authorization status listed as 'n/a' — job requires US Citizenship; unclear if candidate meets this disqualifier",1,,https://jobs.workable.com/view/tnF3oMi9HKzzNrZnKqZ6et/hybrid-junior-ai%2Fml-engineer-in-herndon-at-node.digital
