match,verdict,sponsors_h1b,h1b_approvals,days_ago,posted_on,title,company,location,strengths,gaps,min_years_req,red_flags,url
88,excellent,unknown,0,6,2026-06-16,Software Engineer III,6sense,"San Francisco, California, United States","Exact seniority match: 4.0 years experience aligns perfectly with 4+ years requirement | Strong backend expertise: Python, Java Spring Boot, microservices, distributed systems, and scalable APIs directly match core requirements | Multi-cloud platform experience: AWS, GCP, and Azure all covered; AWS is primary strength | System design capability: Demonstrated through microservices architecture, SOA, API versioning, and infrastructure-as-code (Terraform, Kubernetes)","No Golang exposure mentioned (listed as 'good to have' but not present) | No explicit data platforms or analytics systems experience mentioned (good to have, not required)",4,,https://boards.greenhouse.io/6sense/jobs/8009157?gh_jid=8009157
88,excellent,unknown,0,14,2026-06-08,Full-Stack Software Engineer,crashplan,"Minneapolis, MN or Remote, US","Exceeds seniority requirement: 4 years experience vs 3+ required, with demonstrated full-stack expertise across backend and frontend | Perfect tech stack alignment: Java Spring Boot, JavaScript/TypeScript, React/Angular/Vue.js, Python all present; matches all required languages | Strong data/infrastructure experience: SQL, MongoDB, Redis, DynamoDB, Kafka, AWS services directly applicable to data storage engine work | CI/CD and DevOps proficiency: Jenkins, Docker, Kubernetes, Terraform, AWS demonstrate ability to handle monitoring and deployment requirements","No explicit mention of Go or C# experience (preferred qualifications only, not required) | No stated experience with Jest, Cypress, or Webpack testing/build tools (preferred, not required) | Location not confirmed to be in one of the specified US states or Canada (job has geographic restrictions)",3,,https://job-boards.greenhouse.io/crashplan/jobs/4278594009
82,strong,yes,1,4,2026-06-18,Software Engineer,fanduel,"Atlanta, Georgia, United States","Strong backend foundation with Java Spring Boot, Python, and microservices architecture directly aligned with payments engineering | Comprehensive AWS expertise with Kubernetes, Terraform, and infrastructure-as-code matching the tech stack explicitly mentioned | Full-stack capability with React frontend skills, enabling end-to-end ownership of user journeys for deposits/withdrawals | 4 years of experience at appropriate mid-level seniority for autonomous problem-solving without overqualification","No explicit payments, fintech, or wallet domain experience mentioned; will require business context ramp-up | Limited evidence of tax information or compliance-related system work, which may be relevant to wallet/player activity journeys",,,https://www.fanduel.careers/open-positions?gh_jid=8016515
82,strong,yes,17,4,2026-06-18,"Software Engineer II, Back-end (Card Mgmt & Transaction Processing)",affirm,Remote US,"4 years of experience exceeds 1.5+ year requirement with solid backend engineering foundation | Proficient in Python (required) and extensive distributed systems experience (AWS, Kubernetes, MySQL, microservices architecture) | Strong full-stack capabilities with proven ability to design and launch backend systems, handle complex multi-component interactions, and write well-tested code | Deep expertise in critical infrastructure: Docker, Kubernetes, AWS, MySQL, Redis, DynamoDB, CI/CD, monitoring (Splunk), and security (OAuth2, JWT, Spring Security)","No explicit mention of Kotlin experience (job lists Python OR Kotlin; candidate has Python but Kotlin absence is minor since Python is primary requirement) | Limited evidence of card management, transaction processing, or fintech domain experience—will require domain ramp-up despite strong technical foundation",5,,https://job-boards.greenhouse.io/affirm/jobs/7766277003
82,strong,unknown,0,5,2026-06-17,Backend Engineer,tradeify,Florida ,"4.0 years experience matches the 4+ years requirement exactly | Strong proficiency in Python and Node.js (both primary backend languages listed) | Extensive experience with REST APIs, GraphQL, and microservices architecture | Deep database experience: PostgreSQL/MySQL, MongoDB, Redis caching, DynamoDB","No demonstrated experience with Go or C# (nice-to-have languages, but candidate strong in Python/Node.js alternatives) | No explicit fintech, trading, crypto, or financial systems background mentioned | No mentioned experience with WebSocket services specifically (REST APIs strong, but WebSocket not called out) | No evidence of real-time systems, order books, tick data, or market data application experience",4,,https://jobs.ashbyhq.com/tradeify/cc39df67-b400-4d97-8645-60690b0e8104
82,strong,unknown,0,7,2026-06-15,Software Engineer,rvohealth,"Minneapolis, MN","4 years of software engineering experience exceeds the 2+ year requirement | Expert-level proficiency in Node.js, TypeScript, and JavaScript - the exact backend stack requested | Strong full-stack capabilities with REST APIs, GraphQL, and microservices architecture | Extensive database experience with both relational (MySQL, SQL) and NoSQL (MongoDB, DynamoDB, CosmosDB-adjacent)",No explicit mention of healthcare domain experience or familiarity with pharmacy/care platform requirements | No mention of AI/ML tools for code generation (listed as preferred but increasingly common expectation) | In-office requirement (Charlotte/Fort Mill/Denver/Minneapolis) not verified - candidate location unknown,2,no visa sponsorship,https://job-boards.greenhouse.io/rvohealth/jobs/4703896005
82,strong,no,0,12,2026-06-10,Software Engineer (2026),"ENFOS, Inc.","Durham, North Carolina, United States","Direct React and Java/Spring Boot experience—the exact core stack required for this full-stack role | 4 years of relevant experience aligns well with a 2026 graduate/junior engineer position; demonstrates practical depth beyond entry-level | Comprehensive full-stack skill set including SQL, databases, Docker, CI/CD, REST APIs, and microservices architecture matches the job's end-to-end feature delivery expectations | US work authorization eliminates visa/sponsorship friction","No mention of GitLab experience (job specifies GitLab); candidate has Git/BitBucket but GitLab-specific tooling not demonstrated | Limited evidence of enterprise SaaS domain experience or financial/compliance systems (SOX, audit-readiness context); role emphasizes blue-chip industrial clients with complex regulatory needs",2,,https://jobs.workable.com/view/ioR4k8s7prBZqCfiKsG3ju/software-engineer-(2026)-in-durham-at-enfos%2C-inc.
82,strong,unknown,0,13,2026-06-09,Software Engineer,futurefitai,Remote (North America),"Full-stack capability with React/TypeScript frontend and Node.js backend—exact stack match for the role | 4 years experience at mid-level seniority, perfectly aligned with the 'mid to senior range' hiring and ready for meaningful ownership from day one | Proven microservices, cloud (AWS/GCP/Azure), and production deployment experience (Docker, Kubernetes, CI/CD, Jenkins) matching the high-velocity, high-bar engineering culture | Strong full-stack delivery track record: RESTful APIs, GraphQL, SQL/MongoDB databases, security (OAuth2, JWT), and end-to-end feature ownership across multiple roles","PostgreSQL not explicitly listed in skills (MongoDB and MySQL are), though SQL foundation is strong and PostgreSQL is learnable for a mid-level engineer | No explicit mention of product partnership, design collaboration, or customer-facing impact work—though full-stack background suggests exposure",3,,https://jobs.ashbyhq.com/futurefitai/df12191c-3c81-4750-9a17-4e6f94181599
78,strong,yes,7,3,2026-06-19,Developer II - Full Stack Python Developer (Equities Investment Technology),Neuberger Berman,"New York, United States","4 years of professional experience aligns well with 1-3 years requirement; demonstrates seniority and maturity | Strong Python expertise with proven RESTful API and microservices development; experience with multiple frameworks (Spring Boot, Express.js, Node.js) shows adaptability to FastAPI | Full-stack capability with React, TypeScript, and modern JavaScript; directly matches UI requirements | Extensive SQL and database experience (MySQL, MongoDB, DynamoDB); familiar with cloud data platforms and query optimization","No explicit FastAPI experience mentioned; while Python and REST API skills transfer well, FastAPI-specific knowledge would require ramp-up | No demonstrated financial services, capital markets, or fintech domain experience; equities markets knowledge is absent | No mention of Snowflake or MS SQL Server specifically; while SQL proficiency is strong, these particular platforms are new | No explicit observability tools experience listed (Splunk is mentioned but not in observability context for this role); logging/metrics/tracing maturity unclear",1,,https://jobs.workable.com/view/uwMXZKrvbTzEMFCwJzYxxG/developer-ii---full-stack-python-developer-(equities-investment-technology)-in-new-york-at-neuberger-berman
78,strong,unknown,0,6,2026-06-16,Software Engineer (Starlink Enterprise),spacex,"Palo Alto, CA","Full-stack capability with strong backend (Java Spring Boot, Python, Node.js) and frontend (Angular, React, TypeScript) experience matching job requirements | 4 years professional experience exceeds the 1+ year requirement and aligns well with mid-level full-stack engineer expectations | Extensive cloud infrastructure experience (AWS, Azure, GCP), containerization (Docker, Kubernetes), CI/CD (Jenkins), and distributed systems (Kafka, microservices) directly applicable to large-scale Starlink systems | Preferred tech stack alignment: TypeScript, Python, Java, Angular, React, SQL databases, version control, and performance-critical application experience all present","No demonstrated experience with C# or Go (mentioned as preferred languages); primary stack is Python/Java/TypeScript | No explicit mention of PostgreSQL, SQL Server, or CockroachDB experience (only MySQL, MongoDB, DynamoDB listed); database preference gap though SQL fundamentals are strong | No evidence of embedded systems, satellite/IoT, or aerospace domain experience which could be valuable for Starlink's unique hardware-software integration challenges",1,,https://boards.greenhouse.io/spacex/jobs/8586637002?gh_jid=8586637002
